customer_id,signup_date,company_size,industry,country,acquisition_channel
1,2024-04-24,1-10,Education,Germany,LinkedIn
2,2024-08-16,11-50,Education,USA,Google Ads
3,2025-03-08,1-10,Tech,USA,LinkedIn
4,2024-08-26,1-10,Manufacturing,UK,Referral
5,2024-08-13,200+,Manufacturing,Germany,Google Ads
6,2024-06-12,200+,Healthcare,Germany,LinkedIn
7,2024-08-08,51-200,Tech,USA,Referral
8,2024-04-09,51-200,Healthcare,Australia,Organic
9,2024-02-14,200+,Manufacturing,USA,Referral
10,2024-03-21,51-200,Education,Australia,Organic
11,2024-07-15,1-10,Tech,UK,Organic
12,2024-03-22,11-50,Tech,Canada,Organic
13,2025-04-09,51-200,Finance,Germany,Organic
14,2024-08-02,51-200,Education,USA,LinkedIn
15,2025-06-30,11-50,Finance,Canada,Referral
16,2024-10-03,11-50,Education,Germany,Google Ads
17,2024-08-22,1-10,Healthcare,Canada,Organic
18,2024-03-08,11-50,Manufacturing,Germany,LinkedIn
19,2025-05-26,200+,Education,Canada,LinkedIn
20,2024-09-28,11-50,Finance,Australia,Organic
21,2025-03-14,200+,Healthcare,UK,LinkedIn
22,2025-06-05,200+,Tech,USA,Google Ads
23,2024-06-05,11-50,Education,Canada,Google Ads
24,2025-01-29,200+,Manufacturing,Canada,Organic
25,2024-01-12,1-10,Education,Australia,Organic
26,2024-12-14,1-10,Healthcare,Canada,LinkedIn
27,2025-04-09,1-10,Education,Germany,LinkedIn
28,2025-06-03,1-10,Education,Germany,LinkedIn
29,2024-06-05,51-200,Finance,Australia,Google Ads
30,2024-11-27,200+,Tech,USA,Organic
31,2024-11-10,11-50,Tech,UK,Google Ads
32,2024-03-28,200+,Tech,Australia,LinkedIn
33,2024-05-11,200+,Manufacturing,UK,Organic
34,2025-06-24,200+,Finance,Australia,LinkedIn
35,2024-11-15,200+,Education,Germany,Referral
36,2025-06-13,200+,Tech,UK,LinkedIn
37,2024-03-06,51-200,Tech,Australia,LinkedIn
38,2024-08-13,1-10,Tech,USA,LinkedIn
39,2024-03-10,1-10,Healthcare,USA,LinkedIn
40,2024-10-12,200+,Finance,Australia,LinkedIn
41,2025-04-29,11-50,Retail,Canada,LinkedIn
42,2024-04-06,1-10,Education,Canada,Organic
43,2025-03-09,200+,Retail,USA,Google Ads
44,2024-03-03,200+,Education,Germany,Google Ads
45,2024-09-11,11-50,Finance,Australia,Referral
46,2024-05-23,200+,Finance,Germany,Referral
47,2024-09-12,1-10,Retail,Australia,Google Ads
48,2024-02-21,1-10,Tech,UK,LinkedIn
49,2025-02-20,200+,Retail,UK,Referral
50,2024-03-01,11-50,Retail,USA,Referral
51,2024-09-28,200+,Healthcare,Canada,Referral
52,2024-06-07,11-50,Healthcare,UK,Google Ads
53,2024-03-03,51-200,Tech,USA,Referral
54,2025-05-29,11-50,Tech,Australia,Google Ads
55,2024-07-09,1-10,Manufacturing,USA,LinkedIn
56,2025-02-17,1-10,Manufacturing,UK,Google Ads
57,2024-03-24,200+,Education,Australia,Organic
58,2024-09-24,11-50,Education,Germany,LinkedIn
59,2024-09-28,200+,Finance,Germany,Referral
60,2024-11-19,1-10,Tech,Canada,Google Ads
61,2024-03-16,11-50,Manufacturing,Germany,LinkedIn
62,2024-12-23,1-10,Finance,Germany,Organic
63,2024-06-10,200+,Manufacturing,Germany,Google Ads
64,2024-11-02,1-10,Finance,Germany,Google Ads
65,2024-04-19,11-50,Healthcare,Germany,LinkedIn
66,2024-12-17,11-50,Education,Germany,Referral
67,2024-09-14,1-10,Tech,Canada,Organic
68,2024-02-15,1-10,Healthcare,UK,Organic
69,2024-06-14,200+,Manufacturing,Canada,Google Ads
70,2024-04-24,1-10,Education,UK,Google Ads
71,2025-01-13,11-50,Retail,UK,Google Ads
